City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
583,Pucallpa,PE,80.64,light rain,-8.3791,-74.5539,Hotel Sol de Oriente - Pucallpa
584,Praia,CV,77.54,clear sky,14.9215,-23.5087,LT Aparthotel
586,Marrakesh,MA,75.27,clear sky,31.6315,-8.0083,Les Jardins de La Koutoubia
588,Pimenteiras,BR,87.26,overcast clouds,-6.2453,-41.4192,Hotel rotativo pimentas
590,Portel,BR,74.34,broken clouds,-1.9356,-50.8211,Kitnet do Marcos
592,Labelle,US,80.98,scattered clouds,26.7617,-81.4384,Port LaBelle Inn
596,Mayor Pablo Lagerenza,PY,76.39,broken clouds,-19.9309,-60.7718,
598,Kendari,ID,81.21,overcast clouds,-3.945,122.4989,Hotel Wixel
599,Poum,NC,75.69,clear sky,-20.2333,164.0167,
601,Mecca,SA,81.05,few clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
607,Dakar,SN,83.28,clear sky,14.6937,-17.4441,Novotel Dakar
610,Kismayo,SO,77.13,clear sky,-0.3582,42.5454,Agan-Hotel
611,Labuan,MY,77.36,few clouds,5.2767,115.2417,Tiara Labuan Hotel
613,Lalmohan,BD,76.03,few clouds,22.3384,90.7419,Arifur Rahman Miraj
614,Karaton,ID,77.16,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
618,Kirakira,SB,84.22,scattered clouds,-10.4544,161.9205,SanBiz Lodge
625,Ambon,ID,84.34,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
626,Muscat,OM,81.05,overcast clouds,23.6139,58.5922,Mutrah Hotel
627,Mazatlan,MX,85.96,clear sky,23.2167,-106.4167,Hotel La Siesta
628,Fare,PF,77.2,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
629,Cabinda,AO,76.8,few clouds,-5.55,12.2,Hotel Maiombe
631,Manaus,BR,75.7,heavy intensity rain,-3.1019,-60.025,Manaus Hotéis Millennium
633,Padang,ID,73.45,light rain,-0.9492,100.3543,Mercure Padang
634,Apatou,GF,76.35,broken clouds,5.155,-54.3472,Yoto quensha
636,Samarai,PG,83.62,broken clouds,-10.6167,150.6667,Nuli Sapi
637,Badiraguato,MX,81.03,clear sky,25.3667,-107.5167,"Hotel ""Real Del Campo"""
642,Sao Paulo De Olivenca,BR,74.66,overcast clouds,-3.3783,-68.8725,
643,Axim,GH,76.78,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
645,Adre,TD,75.96,scattered clouds,13.4667,22.2,
648,Elko,US,73.74,clear sky,41.0002,-115.5012,
650,Maragogi,BR,74.86,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
655,Jati,PK,76.84,clear sky,24.3539,68.2671,Cafe Lala Rehan Restaurant
656,Bima,ID,84.63,light rain,-8.4667,118.7167,Lambitu Hotel
665,The Valley,AI,82.54,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
673,Namatanai,PG,84.18,light rain,-3.6667,152.4333,Seagulls Inn Namatani
676,Gizo,SB,83.93,scattered clouds,-8.103,156.8419,Imagination Island
680,Sidi Ali,DZ,80.46,scattered clouds,36.0998,0.4206,Khaled
682,Kota Bahru,MY,76.98,light rain,6.1333,102.2386,Grand Riverview Hotel
689,Marsh Harbour,BS,80.24,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
